# Last updated: February 2026
sha1,name,cover,system
8B2E83D7F2B7D72D5CC1AC81C28C2173AD2FC9BA,Blaster Master: Enemy Below,4/3/0/11430_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
F703B54746CB2EF08DEBA2518CE7B7A3836142AA,Blue's Clues: Blue's Alphabet Book,3/0/5/39305_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
116020A7C2D87ED16436E7710CFED7A93E81289A,Boarder Zone,9/7/2/1972_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
2B4B8C3A4A74FDF7ACC4138125FEA5D8F5A9A093,Bob et Bobette: Les Dompteurs du Temps,7/2/3/200723_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
68BD9A1932D4E5333AB5B4DFE0D28F126E5D470F,Bob the Builder: Fix it Fun!,5/1/5/41515_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
DF4993587CFF869C4824A5A771DB5C26A748C9EA,Bob the Builder: Fix it Fun!,5/1/6/41516_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
476C75CBC05431E692DEC8F4E10BCEE9D3F5431A,Bob the Builder: Fix it Fun!,5/1/6/41516_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
167561998C356253C7092AD200DD1BC5386446A7,Bob the Builder: Fix it Fun!,5/1/6/41516_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
349509AF42DF8B8C5797838C5CDA4BBAE8643017,Boku no Camp-jou,,71747cdb-f026-4fea-a645-6eed365d218c
D2AE9BC5709AA60DD5D433CD353DBB171DB2EF28,Bokujou Monogatari GB2,2/9/3/54293_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
E7FCEB85A78C78403711521FE5FC8F86260425D0,Bokujou Monogatari GB3: Boy Meets Girl,,71747cdb-f026-4fea-a645-6eed365d218c
7416D9430A8163CD2F953C990EF8AD325725E53A,Bomber Man Max: Ain Version,,71747cdb-f026-4fea-a645-6eed365d218c
9C38166E83E45707CBC2E0AFF38FD4590DCE7C3F,Bomber Man Max: Hikari no Yuusha,2/5/5/10255_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
12ADDFB8F890A44B87EFB900E9D6AD5028B58936,Bomber Man Max: Yami no Senshi,0/0/7/57007_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
B1187036734C40606CB1D5E35A6C120EE618E491,Bomber Man Quest,0/9/3/38093_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
BB1120B0116EDA3FC157C66766BEFFCC7A04F826,Bomberman Max: Blue Champion,2/5/6/10256_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
369CE985157C55BBAD6C24F49A0AD4009DEC5F56,Bomberman Max: Red Challenger,0/0/8/57008_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
088ACE0CFD6B3AA637B96C01106F6B1D88BA53FA,Bomberman Quest,0/9/5/38095_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
4436F6EE03F7A8B2F235B64E26400C0E951D8A3A,Bomberman Quest,,71747cdb-f026-4fea-a645-6eed365d218c
52451464A9F4DD5FAEFE4594954CBCE03BFF0D05,Bomberman Selection,,71747cdb-f026-4fea-a645-6eed365d218c
C054ABFEA01A3CEB7B20B27E7EA937ABE5157834,Bouken! Dondoko-tou,,71747cdb-f026-4fea-a645-6eed365d218c
952B9E16A938B986A6216B8DB6D62F71C4F853FA,Brave Saga: Shinshou Astaria,1/2/4/42124_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
3310A9CFCAD457A6D4D31B63D8258313051C581E,Buffy the Vampire Slayer,5/8/1/9581_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
3310A9CFCAD457A6D4D31B63D8258313051C581E,Buffy the Vampire Slayer,5/8/2/9582_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
DFC7B45C8F2D45CBF5C7578294CA569D2CF22DCD,A Bug's Life,,71747cdb-f026-4fea-a645-6eed365d218c
4C689CE3B99A5B585A452B095D72A688391EA0EB,A Bug's Life,,71747cdb-f026-4fea-a645-6eed365d218c
BA004FAC4524B82FD74A9037A37734D0ABA07E50,Bugs Bunny & Lola Bunny: Operation Carrots,,71747cdb-f026-4fea-a645-6eed365d218c
403356D76A267D79FA5B72158DE4E280B970160B,Bugs Bunny: Crazy Castle 3,9/0/7/36907_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
F4AC94B7F59191F8D4ADC1B5B5AC39BEE5DFD064,Bugs Bunny: Crazy Castle 3,9/0/8/36908_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
F4AC94B7F59191F8D4ADC1B5B5AC39BEE5DFD064,Bugs Bunny: Crazy Castle 3,9/0/9/36909_front.jpg,71747cdb-f026-4fea-a645-6eed365d218c
19590017C888266C285360F824F5EF6CEA166287,Bugs Bunny et le Chateau des Catastrophes,,71747cdb-f026-4fea-a645-6eed365d218c
